start	end	text
4880	9840	Pensieri in codice, idee dal mondo del software a cura di Valerio Galano.
20680	26660	Salve a tutti ragazzi e bentornati su Pensieri in codice. Per la puntata di oggi vorrei parlare
26660	34100	di bug. Noi tutti siamo abituati ai bug nei nostri videogame, nei nostri social o nei nostri
34100	40480	smartphone. Tuttavia nel corso della storia ci sono stati alcuni bug che seppur molto piccoli
40480	45580	hanno causato danni economici enormi. Per questo episodio ho quindi pensato di stilare
45580	49100	la lista dei 10 bug più costosi della storia.
55400	63900	1962 Cape Canaveral. La NASA lancia il Mariner One verso Venere. Dopo soli 290 secondi dalla
63900	70280	partenza, la navicella inizia a deviare dalla rotta prestabilita. La situazione è irrecuperabile,
70540	75880	l'ingegnere a terra è costretto ad attivare il sistema di autodistruzione. Inizialmente
75880	80960	si pensa ad un sabotaggio, ma ad una seconda analisi ci si accorge che il tecnico che ha
80960	86300	ricopiato il software dal blocco note su di un calcolatore ha omesso un simbolo di
86300	92520	punteggiatura, molto probabilmente un trattino. Per questo motivo il software a bordo della
92520	97780	navicella non è stato in grado di compensare alcuna variazione di velocità. Il costo
97780	103600	della navicella andata completamente distrutta fu all'epoca di 18 milioni di dollari.
108440	118080	19 giugno 1978. Connecticut. Il tetto del Hartford Coliseum crolla sotto il peso di una coltre
118080	124900	di neve bagnata. Dalle indagini emerge che il software CAD utilizzato per la progettazione
124900	130200	non era in grado di gestire più di una variabile per volta. Per questo motivo aveva
130200	134860	calcolato la struttura del tetto tenendo in considerazione solamente il peso dei
134860	143020	materiali stessi. Fortunatamente non ci furono vittime, ma i danni stimati furono di oltre 90 milioni di dollari.
148540	153140	1988. Uno studente della Cornell University, tale Robert Morris,
153800	159520	decise di scrivere un software per qualcosa che definì lui stesso un innocuo esperimento.
160660	164840	Questo software però mandò in crash centinaia di computer a causa di un errore di
164840	171280	codifica. Lo studente fu multato per 10.000 dollari, ma il costo per sistemare i danni fu
171280	177960	di oltre 100 milioni di dollari. Attualmente Morris è professore al MIT e il codice
177960	182000	del suo innocuo esperimento è custodito presso l'università di Boston.
186320	195340	Nel gennaio del 1990, 60.000 utenti della AT&T, una delle più grandi società di telecomunicazioni
