start	end	text
0	6880	Le notifiche push, consapevolmente o meno, le usiamo tutti quanti ogni giorno, anche decine
6880	12840	di volte al giorno, ci avvisano quando qualcuno ci invia un messaggio, ci ricordano i movimenti
12840	18800	delle nostre carte di credito, ci segnalano una news che potrebbe interessarci o l'ultimo
18800	24560	video del nostro youtuber preferito o un tweet di tendenza e molto molto altro ancora.
24560	30160	Ma quanti di noi sanno che queste utilissime notifiche si basano su un meccanismo che nasconde
30160	37320	un potenziale in cubo per la privacy degli utenti che le ricevono? Ne parliamo fra pochissimo dopo la sigla.
37320	46520	Benvenuti su Pensieri in Codice, il podcast dove si ragiona da informatici con Valerio Galano.
46520	58520	La notizia che mi ha fatto pensare di realizzare questo episodio risale ormai a qualche settimana
58520	63840	fa ed il motivo per cui mi interessa riprenderla è che, come a volte accade,
63840	70280	essa ha fatto conoscere al grande pubblico qualcosa che per gli addetti ai lavori era
70520	76640	abbastanza ovvio e noto da tempo. E semplicemente volevo rifletterci un po' su con te.
76640	82560	Nello specifico sto parlando del fatto che il meccanismo che permette il funzionamento
82560	89440	delle cosiddette notifiche push per smartphone e computer, permette anche a chi gestisceلى il
89440	95920	sistema di invio di risalire all'utenza e dal dispositivo che riceve le comunicazioni.
95920	101920	E se questo fatto, detto in questo modo, ti può suonare abbastanza ovvio, beh sappi
101920	104920	che a quanto si è visto non lo è per tutti.
104920	111840	Partiamo quindi dall'inizio e vediamo innanzitutto cosa è successo, poi come è potuto succedere
111840	115960	e infine quali sono le implicazioni di tutta la faccenda.
115960	121560	E nel farlo proviamo anche a capire un po' come funzionano le notifiche push.
121560	127680	Alla fine di febbraio di quest'anno il Washington Post ha pubblicato un articolo il cui titolo
127680	134920	era, lo dico in italiano, la nuova tattica dell'FBI, catturare i sospetti con le notifiche push.
134920	140920	In tale articolo è raccontata la storia di come alcuni agenti federali abbiano identificato
140920	147840	un utente che scambiava contenuti pedopornografici richiedendo a Google di rintracciarlo tramite
147840	149840	le notifiche push che riceveva.
150240	156680	L'uomo in questione agiva in anonymato ovviamente ed utilizzava anche un app svizzera di messaggistica
156680	162120	chiamata teleguard le cui comunicazioni sono private e criptografate.
162120	168720	Ma ciò non è bastato ad impedire a Google di identificarlo e di consegnare le sue informazioni
168720	170720	nelle mani degli inquirenti.
170720	177160	A seguito di questa scoperta però il Washington Post ha poi indagato ulteriormente e ha trovato
177160	183480	almeno 130 casi in cui è stata utilizzata questa tecnica per individuare sospetti con
183480	186560	l'aiuto di Google, Apple o Facebook.
186560	194880	Alcuni di questi casi risalgono anche a vari anni fa e per la precisione iniziano dal 2019.
199880	205920	Ma come è possibile che Google, Apple o chi che sia possa rintracciare un utente tramite
205920	211920	le notifiche inviate al suo dispositivo, un utente che addirittura utilizza sistemi
211920	218200	di messaggistica criptati che in teoria dovrebbero essere totalmente sicuri e anonimi?
218200	224520	Beh, in realtà conoscendo un po' come funzionano i sistemi per l'invio di notifiche push la
224520	227920	risposta non è poi così complicata.
227920	233120	Piccola nota, essendomi capitato in passato di implementare soluzioni di notifica per
233120	239480	city web tramite servizi di Google, in questo episodio ti parlerò nello specifico di come
239480	245760	funziona questo sistema, ma i concetti di base valgono anche per Apple, Facebook o qualunque
245760	250160	altro soggetto che possieda un proprio sistema di notifiche push.
250160	256960	Cominciamo col dire che le notifiche push non nascono certo come un metodo di tracciamento,
256960	262880	ma sono un meccanismo pensato per rendere più efficiente l'invio delle notifiche aiutenti.
262880	269400	Considerando infatti quante app sono installate sui nostri dispositivi e quante notifiche
269400	275440	esse generano ogni giorno, l'idea di base è raggruppare tutte queste interazioni in
275440	281520	flussi di comunicazione ottimizzati e farli partire da un numero minimo di server.
281880	288200	In pratica, invece di attendere che ogni app o sito web si colleghi al proprio server
288200	295000	per richiedere le novità in sospeso, il sistema delle notifiche push invia immediatamente
295000	301360	al dispositivo ciascuna notifica appena questa è disponibile a prescindere dall'app o
301360	303800	dal sito cui essa è destinata.
303800	310000	Questa, raccontata così molto alla buona, è in sostanza la soluzione implementata
310000	316000	dai maggiori player del mondo informatico, Google, Apple, Meta e compagni, e utilizzata
316000	319720	quasi da tutte le app e i siti in circolazione.
319720	326280	Il punto però è che per far funzionare un sistema del genere è necessario che il gestore
326280	331920	del server conosca gli account dei utenti e i dispositivi presso i quali andranno in
331920	339120	viate le notifiche, non che le app e i siti di destinazione e tutti i dettagli da mostrare
339120	346080	nell'anteprima, per poter consegnare ad un utente una notifica infatti bisogna identificare
346080	352600	su quali dispositivi è registrato, e bisogna anche avere un collegamento a tali dispositivi
352600	359920	in tempo quasi reale e inviare tutte le informazioni necessarie specificando l'app o il sito di
359920	365800	turno ed il contenuto del banner che dovrà essere mostrato, ora tu avrai certamente
365800	371920	notato che ogni volta che installi un app sul tuo smartphone o tablet questa ti richiede
371920	379520	il permesso di poterti mostrare le notifiche, così come spesso fanno anche tanti siti web
379520	383240	di notizie o con funzioni social e di messaggistica.
383240	390600	Beh quella richiesta non è solo un'autorizzazione, ma sottintende anche tutto un procedimento
390600	396320	di configurazione che ha luogo tra il tuo dispositivo e i server del gestore del sistema
396320	403560	push, in pratica accade che il dispositivo segnala al server la propria esistenza chiedendo
403560	409240	di essere avvisato immediatamente in caso siano presenti nuove notifiche riguardo quella
409240	416240	specifica app o sito web, e insieme i due sistemi concordano e si scambiano alcune
416240	421060	stringe di testo che servono per il funzionamento di tutto il meccanismo.
421060	428120	Una di queste stringe è il push token che è unico per ciascuna tripletta composta da
428120	435960	dispositivo utente e sito pure app e rappresenta una sorta di password potremmo dire che il
435960	441080	dispositivo deve utilizzare per ottenere le notifiche che lo riguardano.
441600	448360	Una seconda stringa importante poi è il codice identificativo di argomento, che a
448360	456680	seconda dei casi ha vari utilizzi ma semplificando molto diciamo che nel caso delle app di messaggistica
456680	462320	permette di identificare i dispositivi del destinatario di una o più notifiche.
462320	467680	Volendo essere un po' più precisi in realtà il codice argomento identifica una tipologia
467680	473760	di informazione sulla quale l'utente è interessato a ricevere aggiornamenti nel più breve tempo
473760	480880	possibile, e quando dispositivo e server push si accordano sulla ricezione di notifiche l'app o
480880	487520	il sito di turno specificano a quali argomenti scrivere l'utente e quindi per quali novità
487520	495280	riceverà le notifiche. Quando si parla di app di messaggistica ogni chat coincide bene o male
495280	502840	con un certo argomento e quindi di fatto ogni chat privata tra due utenti permette di risalire
502840	509600	ai due tramite i codici argomento ad essa collegati, e dico codici e non codice perché
509600	516400	ciascun utente avrà il proprio pur essendo la chat in comune tra i due. Ad ogni modo il
516400	522240	concetto è che grazie a push token e codici argomento ogni dispositivo può restare in
522240	530160	ascolto presso un server push che per android sarà ad esempio google e per iphone sarà apple e
530160	536680	al tempo stesso il server di ciascun app può comunicare al server push di riferimento i
536680	543960	dati delle notifiche da inoltrare e gli utenti a cui inoltrarle. Per i siti web la questione è un
543960	550320	pelo più complicata perché è il browser a dover tenere il collegamento verso i server push
550320	558080	che potenzialmente potrebbero anche essere più di uno, ma anche in questo caso al momento questi
558080	564080	dettagli non ci interessano. Ciò che invece dobbiamo tenere bene a mente per capire le
564080	570160	implicazioni in termini di privacy di tutto questo sistema è il ciclo di vita di una
570160	577640	notifica push che più o meno è il seguente. Uno, le notifiche comprensive di tutti i relativi
577640	583640	dettagli, quelli che compaiono nelle anteprime per intenderci, vengono generate dal server
583640	591080	originale di un app o di un sito. Due, tale server poi contatta i server del servizio di
591080	597200	notifica push che come abbiamo già detto solitamente appartengono a google o apple o qualche
597200	603640	altro big, indica tutte le informazioni da recapitare e il codice argomento relativo.
603640	611040	Tre, il server push combina insieme il codice argomento e l'identità del server che lo ha
611040	618400	appena contattato e così facendo identifica l'app e il dispositivo o i dispositivi del
618400	623760	o dei destinatari iscritti all'argomento e gli invia tutto il necessario.
623760	630480	Quattro, una volta recapitate le informazioni, nel caso di un app viene mostrato il classico
630480	637360	banner di notifica del sistema operativo, mentre nel caso di un sito la gestione può anche
637360	644680	essere un po' più personalizzata, come di consueto tecnicamente parlando, in realtà tutto il gire è
644680	650560	un po' più complicato di così, ma per quello che ci interessa i passaggi descritti sono perfetti.
650560	656760	Tornando infatti alla nostra domanda iniziale su come si può rintracciare un utente tramite le
656760	663480	notifiche, dobbiamo per forza presupporre che il server del servizio push debba in qualche
663480	669840	modo archiviare una lista di tutti gli utenti, dei dispositivi collegati e delle app desiti per
669840	675440	poter mettere in funzione tutto il meccanismo quando necessario. Il succo della questione in
675440	682120	pratica è che se ad esempio il server delle notifiche push deve consegnare le informazioni
682120	691200	ricevute da WhatsApp per la chat x, che ricordiamo corrisponde a un certo argomento y, deve cercare
691200	697200	all'interno dei propri elenchi l'identificativo degli utenti collegati all'app di WhatsApp per
697200	704080	l'argomento y ed estrarre i corrispondenti dispositivi, altrimenti semplicemente non può
704080	710840	fare il suo lavoro. In definitiva quindi ora dovrebbe essere chiaro che il server delle notifiche
710840	717640	push è contemporaneamente a conoscenza di tutta una serie di informazioni che vanno
717640	723960	dall'account dell'utente al dispositivo che sta utilizzando alle app e ai siti che frequenta e per cui
723960	731920	riceve notifiche y, cosa non da poco, alle informazioni contenute in queste notifiche banalmente le
731920	739240	anteprime dei messaggi. Ora, data la complessità e la pervasività e l'importanza di un sistema
739240	745720	come quello appena descritto, non possiamo certo pensare che non implementi tutta una serie di log
745720	752920	da utilizzare in caso di verifica e di reportistica. Sarebbe folle se non lo facesse, è un servizio
752920	760080	attivo a livello mondiale che serve ogni giorno centinaia di milioni di utenti. E tali log devono
760080	767400	contenere certamente identificativi e informazioni inviate dai server delle app e dei siti, non
767400	774840	che probabilmente l'esito di consegna delle notifiche e altri dati utili sia a fini statistici
774840	782160	che di manutenzione. A questo punto ci tengo ad essere chiaro, io non ho trovato articoli online
782160	789000	che illustrassero esplicitamente la procedura utilizzata da Google per fornire le informazioni
789000	797120	all'FBI del caso di cui stiamo parlando o altri simili, ma a questo punto con quello che ci siamo
797120	805440	detti finora possiamo provare ad immaginare i pasti seguiti, poi se qualcuno ne sa di più su questo
805440	812440	argomento potrà tranquillamente confermare o smentire le seguenti supposizioni. Immaginiamo
812440	818960	di avere la possibilità di consultare i log dei server delle notifiche push di Google. Come
818960	826120	potremmo fare ad individuare l'identità di uno specifico utente che stiamo monitorando su una chat,
826120	834520	una qualsiasi WhatsApp, Telegram, Teleguard o chi che sia? Beh, un'idea potrebbe essere quella di fare
834520	841160	arrivare all'utente una serie di notifiche con caratteristiche uniche, in questo modo potremo
841160	847920	poi andare a ricercarle all'interno dei log ed usarle per individuare un codice argomento a cui
847920	854400	è iscritto l'utente. Ad esempio, io potremmo spedire messaggi contenenti specifiche stringe
854400	862200	di testo abbastanza complesse da essere potenzialmente uniche e abbastanza brevi da
862200	869240	rientrare nell'anteprima della notifica, oppure potremmo spedirgli una serie di messaggi con un
869240	875720	particolare pattern temporale, ad esempio generando un preciso numero di notifiche in un arco di tempo
875720	882480	ben definito. In entrambi questi casi, avendo accesso ai log del server push, potremmo poi
882480	888680	effettuare delle ricerche ed individuare, con buona approssimazione, l'utente a cui abbiamo inviato
888680	895120	le nostre notifiche trappola. L'identificativo dell'argomento, salvo eventi eccezionali,
895120	901920	sarà sempre uguale per tutte le notifiche inviate all'utente per quella particolare chat e,
901920	907440	pertanto, fungerà da elemento comune tra i risultati della ricerca negli archivi.
907440	914480	In pratica le ricerche saranno qualcosa del tipo estraiamo tutti i identificativi per cui sono
914480	920000	state inviate notifiche push contenenti la stringa trappola spedita via chat il giorno
920000	927240	tot alle ore tot, oppure estraiamo tutti i identificativi per cui sono state inviate notifiche
927240	933680	push alla seguente data e ora e specifichiamo tutti gli orari dei messaggi che gli abbiamo spedito.
933680	940480	A questo punto non ci resterà che accedere al database dei server push e individuare i
940480	948320	dispositivi e quindi gli utenti iscritti a ricevere notifiche dai codici argomento venuti
948320	955600	fuori dalle nostre query di ricerca. E semplicemente il gioco è fatto. Le probabilità di trovare più
955600	961000	di un utente che corrisponda ai risultati della ricerca saranno relativamente basse,
961000	967800	ma anche in caso contrario sarà possibile poi completare le indagini in modo tradizionale.
967800	973040	Per l'FBI infatti un conto è non avere idea di chi si sta cercando,
973040	978920	tutt'altra cosa invece è dover indagare su un numero molto ristretto di sospetti.
978920	990600	Quale che sia effettivamente la tecnica utilizzata da Google e dalle FBI, quel che è certo è che
990600	995960	è stata essenziale per catturare un criminale, quindi ad una prima impressione può sembrare
